,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,JOBS_1000_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,JOBS_1000_ME,TOT_EMP_ME
42175,WA,31020,"Longview, WA",15-0000,Computer and Mathematical Occupations,230.0,17.3,6.654,68980.0,3.9,63170.0,2013,2690.22,3371.6527260000003,1.1511419999999999,39.79,5272.8312,6608.43934296,2.2562383199999996,77.9884
42383,WA,34580,"Mount Vernon-Anacortes, WA",15-0000,Computer and Mathematical Occupations,490.0,22.1,11.26,75790.0,4.0,73220.0,2013,3031.6,3799.50428,2.48846,108.29,5941.936,7447.0283888,4.8773816,212.2484
42658,WA,36500,"Olympia, WA",15-0000,Computer and Mathematical Occupations,4670.0,4.9,48.745,73100.0,2.4,71880.0,2013,1754.4,2198.7895200000003,2.3885050000000003,228.83,3438.6240000000003,4309.627459200001,4.6814698,448.5068
43017,WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",15-0000,Computer and Mathematical Occupations,115870.0,1.5,79.92,102640.0,5.4,102630.0,2013,5542.56,6946.4904480000005,1.1987999999999999,1738.05,10863.4176,13615.121278080002,2.3496479999999997,3406.578
43727,WA,44060,"Spokane, WA",15-0000,Computer and Mathematical Occupations,4180.0,5.5,20.893,68150.0,2.0,65470.0,2013,1363.0,1708.2479,1.149115,229.9,2671.48,3348.165884,2.2522654,450.604
44192,WA,45104,"Tacoma, WA Metropolitan Division",15-0000,Computer and Mathematical Occupations,3580.0,8.5,13.685,75060.0,1.9,71340.0,2013,1426.14,1787.3812619999999,1.163225,304.3,2795.2344000000003,3503.26727352,2.279921,596.428
44655,WA,48300,"Wenatchee-East Wenatchee, WA",15-0000,Computer and Mathematical Occupations,400.0,9.6,10.157,62020.0,3.5,60570.0,2013,2170.7,2720.53831,0.9750719999999999,38.4,4254.571999999999,5332.2550876,1.91114112,75.264
44887,WA,49420,"Yakima, WA",15-0000,Computer and Mathematical Occupations,610.0,9.2,7.53,63150.0,2.0,60800.0,2013,1263.0,1582.9179000000001,0.6927599999999999,56.12,2475.48,3102.519084,1.3578096,109.9952
45214,WI,11540,"Appleton, WI",15-0000,Computer and Mathematical Occupations,1820.0,10.2,15.743,68800.0,3.4,65260.0,2013,2339.2,2931.7193600000005,1.605786,185.64,4584.831999999999,5746.169945600001,3.14734056,363.85439999999994
45576,WI,20740,"Eau Claire, WI",15-0000,Computer and Mathematical Occupations,1660.0,22.5,21.046,61940.0,2.2,59220.0,2013,1362.68,1707.846844,4.7353499999999995,373.5,2670.8528,3347.3798142399996,9.281286,732.06
45893,WI,22540,"Fond du Lac, WI",15-0000,Computer and Mathematical Occupations,460.0,15.0,10.29,56140.0,4.0,52410.0,2013,2245.6,2814.41048,1.5434999999999999,69.0,4401.375999999999,5516.2445408,3.02526,135.24
46148,WI,24580,"Green Bay, WI",15-0000,Computer and Mathematical Occupations,3900.0,11.9,23.665,64960.0,2.2,63060.0,2013,1429.12,1791.1160960000002,2.816135,464.1,2801.0751999999998,3510.5875481600006,5.5196246,909.6360000000001
46578,WI,27500,"Janesville, WI",15-0000,Computer and Mathematical Occupations,730.0,11.9,11.974,55820.0,3.7,52560.0,2013,2065.34,2588.4906220000003,1.424906,86.87,4048.0664,5073.441619120001,2.79281576,170.2652
46855,WI,29100,"La Crosse, WI-MN",15-0000,Computer and Mathematical Occupations,960.0,9.0,12.998,63300.0,2.9,57270.0,2013,1835.7,2300.6828100000002,1.16982,86.4,3597.972,4509.3383076,2.2928472,169.344
47186,WI,31540,"Madison, WI",15-0000,Computer and Mathematical Occupations,17130.0,20.1,49.962,71860.0,1.7,70780.0,2013,1221.62,1531.0563460000003,10.042362000000002,3443.13,2394.3752,3000.8704381600005,19.683029520000005,6748.5348
47733,WI,33340,"Milwaukee-Waukesha-West Allis, WI",15-0000,Computer and Mathematical Occupations,23080.0,4.4,28.344,74390.0,2.1,70920.0,2013,1562.19,1957.892727,1.2471360000000002,1015.5200000000001,3061.8924,3837.46974492,2.4443865600000003,1990.4192
48386,WI,36780,"Oshkosh-Neenah, WI",15-0000,Computer and Mathematical Occupations,1580.0,9.1,17.156,62030.0,2.4,60670.0,2013,1488.72,1865.812776,1.5611959999999998,143.78,2917.8912,3656.9930409599997,3.0599441599999997,281.8088
48723,WI,39540,"Racine, WI",15-0000,Computer and Mathematical Occupations,550.0,8.7,7.371,70280.0,2.9,65890.0,2013,2038.12,2554.3757960000003,0.6412770000000001,47.85,3994.7151999999996,5006.576560160001,1.2569029200000001,93.786
49027,WI,43100,"Sheboygan, WI",15-0000,Computer and Mathematical Occupations,810.0,8.3,14.526,69390.0,2.5,67480.0,2013,1734.75,2174.1621750000004,1.2056580000000001,67.23,3400.11,4261.357863000001,2.3630896800000003,131.7708
49293,WI,48140,"Wausau, WI",15-0000,Computer and Mathematical Occupations,1700.0,10.9,25.965,66630.0,2.7,65600.0,2013,1799.01,2254.6992330000003,2.830185,185.3,3526.0596,4419.210496680001,5.5471626,363.188
49599,WV,16620,"Charleston, WV",15-0000,Computer and Mathematical Occupations,1660.0,6.2,11.482,55260.0,4.1,49320.0,2013,2265.66,2839.551678,0.711884,102.92,4440.6936,5565.52128888,1.3952926399999999,201.7232
50004,WV,26580,"Huntington-Ashland, WV-KY-OH",15-0000,Computer and Mathematical Occupations,720.0,10.7,6.701,53710.0,3.3,47770.0,2013,1772.43,2221.386519,0.717007,77.03999999999999,3473.9628000000002,4353.91757724,1.4053337199999998,150.99839999999998
50367,WV,34060,"Morgantown, WV",15-0000,Computer and Mathematical Occupations,1730.0,21.7,27.43,66350.0,4.5,62920.0,2013,2985.75,3742.0404750000002,5.95231,375.41,5852.07,7334.3993310000005,11.6665276,735.8036000000001
50635,WV,37620,"Parkersburg-Marietta-Vienna, WV-OH",15-0000,Computer and Mathematical Occupations,760.0,6.5,11.38,68630.0,5.3,71050.0,2013,3637.39,4558.740887,0.7397,49.4,7129.2844,8935.132138519999,1.449812,96.824
50928,WV,48540,"Wheeling, WV-OH",15-0000,Computer and Mathematical Occupations,650.0,13.0,10.356,55580.0,2.3,49900.0,2013,1278.34,1602.1435219999998,1.34628,84.5,2505.5463999999997,3140.2013031199995,2.6387088,165.62
51188,WY,16220,"Casper, WY",15-0000,Computer and Mathematical Occupations,320.0,9.3,7.626,57650.0,2.5,55670.0,2013,1441.25,1806.318625,0.709218,29.76,2824.85,3540.384505,1.39006728,58.3296
51431,WY,16940,"Cheyenne, WY",15-0000,Computer and Mathematical Occupations,950.0,2.9,21.436,59750.0,3.3,55760.0,2013,1971.75,2471.1942750000003,0.621644,27.55,3864.63,4843.540779000001,1.21842224,53.998
