Occupation,OCC_CODE,OCC_GROUP,A_MEDIAN
"Computer Occupations, All Other",15-1199,detailed,18170.0
Operations Research Analysts,15-2031,detailed,67530.0
Computer and Information Research Scientists,15-1111,detailed,110090.0
Computer Systems Analysts,15-1121,detailed,82340.0
Information Security Analysts,15-1122,detailed,78030.0
Computer Programmers,15-1131,detailed,72240.0
"Software Developers, Applications",15-1132,detailed,80480.0
"Software Developers, Systems Software",15-1133,detailed,81230.0
Web Developers,15-1134,detailed,55680.0
Database Administrators,15-1141,detailed,80040.0
Network and Computer Systems Administrators,15-1142,detailed,75690.0
Computer Network Architects,15-1143,detailed,87470.0
